Max Aarons, DEF
Zach Abbott, DEF
Terry Ablade, FWD
Josh Acheampong, DEF
Tyler Adams, MID
Tosin Adarabioyo, DEF
Tayo Adaramola, DEF
Elijah Adebayo, FWD
Valintino Adedokun, DEF
Simon Adingra, FWD
Adler Nascimento, FWD
Adrián, GK
Daniel Adu-Adjei, MID
Nayef Aguerd, DEF
Brandon Aguilera, MID
Enock Agyei, FWD
Naouirou Ahamada, MID
Anel Ahmedhodzic, DEF
Ola Aina, DEF
Rayan Aït-Nouri, DEF
Kristoffer Ajer, DEF
Manuel Akanji, DEF
Nathan Aké, DEF
Ameen Al Dakhil, DEF
Thiago Alcântara, MID
Alex Murphy, DEF
Alex Telles, DEF
Trent Alexander-Arnold, DEF
Alisson Becker, GK
Sonny Aljofree, DEF
Josh Allen, FWD
Max Alleyne, DEF
Dele Alli, MID
Miguel Almirón, MID
Julián Álvarez, FWD
Steven Alzate, MID
Harry Amass, DEF
Zeki Amdouni, FWD
Samuel Amissah, DEF
Ethan Ampadu, DEF
Sofyan Amrabat, MID
Joseph Anang, GK
Joachim Andersen, DEF
Elliot Anderson, MID
André Gomes, MID
Andreas Pereira, MID
Andrey Santos, MID
Vincent Angelini, GK
Ângelo, FWD
Tino Anjorin, MID
Jaidon Anthony, FWD
Michail Antonio, FWD
Antony, FWD
Keenan Appiah-Forson, MID
Oliver Arblaster, MID
Cameron Archer, FWD
Alphonse Areola, GK
Harry Arter, MID
Benjamin Arthur, DEF
Harrison Ashby, DEF
Lorenz Assignon, DEF
Noël Atom, DEF
Pierre-Emerick Aubameyang, FWD
Sèrge Aurier, DEF
Brandon Austin, GK
Taiwo Awoniyi, FWD
Yasin Ayari, MID
Jordan Ayew, FWD
César Azpilicueta, DEF
Abdul Baba, DEF
Benoît Badiashile, DEF
Leon Bailey, MID
Eric Bailly, DEF
Stefan Bajcetic, MID
Benicio Baker-Boaitey, FWD
Ellery Balcombe, GK
George Baldock, DEF
Carlos Baleba, MID
Emilio Ballard-Matthews, FWD
Fodé Ballo-Touré, DEF
Kofi Balmer, DEF
Folarin Balogun, FWD
Mauro Bandeira, MID
Scott Banks, MID
Shandon Baptiste, MID
Valentín Barco, DEF
Ross Barkley, MID
Ashley Barnes, FWD
Ty Barnett, FWD
Luca Barrington, FWD
Chris Basham, DEF
Calvin Bassey, DEF
Samuel Bastien, MID
Joe Bauress, FWD
Nathan Baxter, GK
Altay Bayindir, GK
Eddie Beach, GK
Mads Bech, DEF
Owen Beck, DEF
Asmir Begovic, GK
Amari'i Bell, DEF
Jean-Ricner Bellegarde, MID
Anis Ben Slimane, MID
Steven Benda, GK
Rhys Bennett, DEF
Saïd Benrahma, FWD
Rodrigo Bentancur, MID
Dan Bentley, GK
Sander Berge, MID
Lucas Bergström, GK
Bernardo Silva, MID
Luke Berry, MID
Beto, FWD
Marcus Bettinelli, GK
Jordan Beyer, DEF
Giulian Biancone, DEF
Mads Bidstrup, MID
Mika Biereth, FWD
Philip Billing, MID
Nathan Bishop, GK
Yves Bissouma, MID
Billy Blacker, FWD
Malachi Boateng, MID
Oscar Bobb, MID
Jayden Bogle, DEF
Bendegúz Bolla, DEF
Willy-Arnaud Boly, DEF
Alex Borto, GK
Sven Botman, DEF
Aaron Bott, GK
Jarrod Bowen, FWD
Josh Bowler, MID
Conor Bradley, DEF
Jarrad Branthwaite, DEF
Ben Brereton, FWD
Rhian Brewster, FWD
Ethan Brierley, MID
Armando Broja, FWD
Josh Brooking, DEF
David Brooks, MID
Jacob Brown, FWD
Josh Brownhill, MID
Bruno Fernandes, MID
Bruno Guimarães, MID
Bruno Jordão, MID
Jacob Bruun Larsen, FWD
Joe Bryan, DEF
Emiliano Buendía, MID
Santiago Bueno, DEF
Facundo Buonanotte, MID
Jake Burger, MID
Reece Burke, DEF
Dan Burn, DEF
Mason Burstow, FWD
Jack Butland, GK
Nathan Butler-Oyedeji, FWD
Jili Buyabu, DEF
Cafú, MID
Moisés Caicedo, MID
Tom Cairney, MID
Dominic Calvert-Lewin, FWD
Elijah Campbell, DEF
Thomas Cannon, FWD
Sergi Canós, MID
Carlos Gomes, FWD
Carlos Vinícius, FWD
Nathan Carlyon, MID
Scott Carson, GK
Cesare Casadei, MID
Casemiro, MID
Kaelan Casey, DEF
Matty Cash, DEF
Charlie Casper, GK
Timothy Castagne, DEF
Leo Castledine, MID
Cédric Soares, DEF
Kallum Cesay, DEF
Trevoh Chalobah, MID
Calum Chambers, DEF
Shea Charles, MID
Charlie Robinson, DEF
Dan Chesters, MID
Christian Chigozie, DEF
Ben Chilwell, DEF
Chiquinho, MID
Tawanda Chirewa, MID
Leon Chiwome, FWD
Tahith Chong, MID
Samy Chouchane, MID
Ryan Christie, MID
Carney Chukwuemeka, MID
Darko Churlinov, FWD
Catalin Cîrjan, MID
Bobby Clark, MID
Regan Clayton, DEF
Nathaniel Clyne, DEF
Conor Coady, DEF
Jack Colback, MID
Séamus Coleman, DEF
Nathan Collins, DEF
Toby Collyer, MID
Levi Colwill, DEF
Aaron Connolly, FWD
Lewis Cook, MID
Theo Corbeanu, FWD
Jack Cork, MID
Maxwel Cornet, FWD
Dara Costelloe, FWD
Vladimír Coufal, DEF
Ismaila Coulibaly, MID
Conor Coventry, MID
Matthew Cox, GK
Amario Cozier-Duberry, MID
Tristan Crama, DEF
Billy Crellin, GK
Aaron Cresswell, DEF
Marc Cucurella, DEF
Josh Cullen, MID
Jamie Cumming, GK
Luke Cundle, MID
Ted Curd, GK
Sam Curtis, DEF
Luciano D'Auria-Henry, DEF
Michael Dacosta Gonzalez, FWD
Mikkel Damsgaard, MID
Daniel Podence, MID
Danilo, MID
Arnaut Danjuma, FWD
Jayden Danns, FWD
Karl Darlow, GK
Josh Dasilva, MID
Tom Davies, MID
Keinan Davis, FWD
Craig Dawson, DEF
Lucas De Bolle, MID
Kevin De Bruyne, MID
Bobby De Cordova-Reid, FWD
Luc De Fougerolles, DEF
David de Gea, GK
Deivid Washington, FWD
Hannes Delcroix, DEF
Siriki Dembélé, MID
Leander Dendoncker, MID
Will Dennis, GK
Halil Dervisoglu, FWD
Justin Devenny, MID
Alfie Devine, MID
Marcus Dewhurst, GK
Moussa Diaby, FWD
Amad Diallo, FWD
Luis Díaz, FWD
Matthew Dibley-Dias, MID
Diego Carlos, DEF
Diego Costa, FWD
Diego Moreira, FWD
Eric Dier, DEF
Lucas Digne, DEF
Diogo Dalot, DEF
Diogo Jota, FWD
Issa Diop, DEF
Axel Disasi, DEF
Ben Doak, FWD
Lewis Dobbin, FWD
Owen Dodgson, DEF
Matt Doherty, DEF
Jérémy Doku, FWD
Nicolás Domínguez, MID
Dominic Martins, MID
Jamie Donley, FWD
Alfie Dorrington, DEF
Cheick Doucouré, MID
Alfie Doughty, MID
Douglas Luiz, MID
Flynn Downes, MID
Tommy Doyle, MID
Mohamed Dräger, DEF
Radu Dragusin, DEF
Cody Drameh, DEF
Martin Dúbravka, GK
Joshua Duffus, FWD
Shane Duffy, DEF
Paul Dummett, DEF
Lewis Dunk, DEF
Jhon Durán, FWD
Kiano Dyer, MID
George Earthy, MID
Evan Easton, DEF
Jake Eastwood, GK
Malcolm Ebiowei, FWD
Claudio Echeverri, MID
Ederson, GK
Odsonne Édouard, FWD
Khayon Edwards, FWD
John Egan, DEF
CJ Egan-Riley, DEF
Hjalmar Ekdal, DEF
Anthony Elanga, FWD
Harvey Elliott, MID
Noam Emeran, FWD
Emerson, DEF
Emerson Royal, DEF
Lander Emery, GK
Emiliano Martínez, GK
Julio Enciso, FWD
Wataru Endo, MID
Christian Eriksen, MID
Maxime Esteve, DEF
Pervis Estupiñán, DEF
Jonny Evans, DEF
Eberechi Eze, MID
Lukasz Fabianski, GK
Fabinho, MID
Fábio Carvalho, MID
Fábio Silva, FWD
Fábio Vieira, MID
Malachi Fagan-Walcott, DEF
Romain Faivre, MID
Ansu Fati, FWD
Josh Feeney, DEF
Felipe, DEF
Evan Ferguson, FWD
Enzo Fernández, MID
Will Fish, DEF
John Fleck, MID
Mark Flekken, GK
Phil Foden, MID
Wes Foderingham, GK
David Datro Fofana, FWD
Michael Forbes, DEF
Tyrese Fornah, MID
